"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"CAPACITANCE";"CATEGORY";"CENTERLINE_PITCH";"CHECK_PRICES";"COMMENT";"CUI_PURCHASE_URL";"DESCRIPTION";"DOCUMENTATION_LINK";"DOCUMENTATION_URL";"ESR";"EU_ROHS_COMPLIANCE";"FAMILY";"FEATURES";"HEIGHT-SEATED";"LABEL";"LEAD_SPACING";"MANUFACTURER";"MANUFACTURER_SIZE_CODE";"MF";"MOUNTING_TYPE";"MP";"NUMBER_OF_POSITIONS";"OPERATING_TEMPERATURE";"PACKAGE";"PART_NUMBER";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"SERIES";"SIZE";"SNAPEDA_LINK";"SPICEPREFIX";"SUPPLIER_ITEM_INFO";"SUPPLIER_ITEM_LINK";"SUPPLIER_ITEM_NUMBER";"SUPPLIER_ITEM_URL";"SUPPLIER_LINK";"SUPPLIER_NAME";"SUPPLIER_URL";"TE_PURCHASE_URL";"TOLERANCE";"TYPE";"VOLTAGE-RATED";
"3";"100uF";"C-USC1206";"C1206";"C5, C8, C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uH";"INDUCTOR7070";"L7070";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uf 25V";"T491X107K025AT";"X";"C4";"Tantalum Surface Mount Capacitor - Standard Tantalum";"";"";"100uF";"Capacitors";"";"";"";"";"CAP TANT 100UF 25V 10% 2917";"<a href="http://www.kemet.com/Lists/ProductCatalog/Attachments/254/KEM_T2005_T491.pdf">Datasheet</a>";"http://www.kemet.com/Lists/ProductCatalog/Attachments/254/KEM_T2005_T491.pdf";"300 mOhm";"";"Tantalum Capacitors";"General Purpose";"0.169" (4.30mm)";"";"-";"Kemet";"X";"";"Surface Mount";"";"";"-55C ~ 125C";"2917 (7343 Metric)";"T491X107K025AT";"";"";"";"";"T491";"0.287" L x 0.169" W (7.30mm x 4.30mm)";"";"";"http://www.digikey.com/product-detail/en/T491X107K025AT/399-8410-1-ND/3472133";"<a href="">Details</a>";"399-8410-1-ND";"";"<a href="http://www.digikey.com">Home Page</a>";"Digi-Key";"http://www.digikey.com";"";"10%";"Molded";"25V";
"2";"10k";"R-EU_R0603";"R0603";"R18, R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-USC1206";"C1206";"C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"12V";"2,54/0,8";"2,54/0,8";"12VOLT";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"150uF";"C-USC1206";"C1206";"C1, C2";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1K";"R-US_M0805";"M0805";"R30, R32, R34, R36, R38";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1N5819HW";"1N5819HW";"SOD-123-EDITED";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uf";"C-EUC0805";"C0805";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R-EU_R0805";"R0805";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";"";
"1";"2uF";"C-USC1206";"C1206";"C10";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3V3";"2,54/0,8";"2,54/0,8";"3V3_1";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"470";"R-US_M0805";"M0805";"R31, R33, R35, R37, R39";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"470R";"R-EU_R0603";"R0603";"R3, R4, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";"";"";"";
"1";"470pf";"C-USC1206";"C1206";"C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470uf 25V";"T491X107K025AT";"X";"C7";"Tantalum Surface Mount Capacitor - Standard Tantalum";"";"";"100uF";"Capacitors";"";"";"";"";"CAP TANT 100UF 25V 10% 2917";"<a href="http://www.kemet.com/Lists/ProductCatalog/Attachments/254/KEM_T2005_T491.pdf">Datasheet</a>";"http://www.kemet.com/Lists/ProductCatalog/Attachments/254/KEM_T2005_T491.pdf";"300 mOhm";"";"Tantalum Capacitors";"General Purpose";"0.169" (4.30mm)";"";"-";"Kemet";"X";"";"Surface Mount";"";"";"-55C ~ 125C";"2917 (7343 Metric)";"T491X107K025AT";"";"";"";"";"T491";"0.287" L x 0.169" W (7.30mm x 4.30mm)";"";"";"http://www.digikey.com/product-detail/en/T491X107K025AT/399-8410-1-ND/3472133";"<a href="">Details</a>";"399-8410-1-ND";"";"<a href="http://www.digikey.com">Home Page</a>";"Digi-Key";"http://www.digikey.com";"";"10%";"Molded";"25V";
"1";"500mA";"1206L";"1206L";"F1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"5V";"2,54/0,8";"2,54/0,8";"+5V, 5V, 5V1, _5VOLT";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
